techniqueID,tactic
T1047,execution
T1113,collection
T1037,persistence
T1037,privilege-escalation
T1037.002,persistence
T1037.002,privilege-escalation
T1037.003,persistence
T1037.003,privilege-escalation
T1037.001,persistence
T1037.001,privilege-escalation
T1037.005,persistence
T1037.005,privilege-escalation
T1037.004,persistence
T1037.004,privilege-escalation
T1557,credential-access
T1557,collection
T1557.002,credential-access
T1557.002,collection
T1557.003,credential-access
T1557.003,collection
T1557.001,credential-access
T1557.001,collection
T1033,discovery
T1583,resource-development
T1583.006,resource-development
T1583.005,resource-development
T1583.004,resource-development
T1583.007,resource-development
T1583.002,resource-development
T1583.008,resource-development
T1583.001,resource-development
T1583.003,resource-development
T1613,discovery
T1592,reconnaissance
T1592.002,reconnaissance
T1592.004,reconnaissance
T1592.001,reconnaissance
T1592.003,reconnaissance
T1003,credential-access
T1003.004,credential-access
T1003.006,credential-access
T1003.005,credential-access
T1003.002,credential-access
T1003.003,credential-access
T1003.001,credential-access
T1003.008,credential-access
T1003.007,credential-access
T1129,execution
T1602,collection
T1602.002,collection
T1602.001,collection
T1006,defense-evasion
T1014,defense-evasion
T1123,collection
T1543,persistence
T1543,privilege-escalation
T1543.002,persistence
T1543.002,privilege-escalation
T1543.001,persistence
T1543.001,privilege-escalation
T1543.004,persistence
T1543.004,privilege-escalation
T1543.003,persistence
T1543.003,privilege-escalation
T1133,persistence
T1133,initial-access
T1539,credential-access
T1578,defense-evasion
T1578.001,defense-evasion
T1578.002,defense-evasion
T1578.003,defense-evasion
T1578.004,defense-evasion
T1069,discovery
T1069.002,discovery
T1069.003,discovery
T1069.001,discovery
T1114,collection
T1114.003,collection
T1114.002,collection
T1114.001,collection
T1594,reconnaissance
T1561,impact
T1561.001,impact
T1561.002,impact
T1615,discovery
T1025,collection
T1547,persistence
T1547,privilege-escalation
T1547.006,persistence
T1547.006,privilege-escalation
T1547.012,persistence
T1547.012,privilege-escalation
T1547.008,persistence
T1547.008,privilege-escalation
T1547.004,persistence
T1547.004,privilege-escalation
T1547.010,persistence
T1547.010,privilege-escalation
T1547.009,persistence
T1547.009,privilege-escalation
T1547.013,persistence
T1547.013,privilege-escalation
T1547.002,persistence
T1547.002,privilege-escalation
T1547.014,persistence
T1547.014,privilege-escalation
T1547.015,persistence
T1547.015,privilege-escalation
T1547.005,persistence
T1547.005,privilege-escalation
T1547.003,persistence
T1547.003,privilege-escalation
T1547.007,persistence
T1547.007,privilege-escalation
T1547.001,persistence
T1547.001,privilege-escalation
T1600,defense-evasion
T1600.001,defense-evasion
T1600.002,defense-evasion
T1489,impact
T1652,discovery
T1564,defense-evasion
T1564.009,defense-evasion
T1564.010,defense-evasion
T1564.007,defense-evasion
T1564.003,defense-evasion
T1564.008,defense-evasion
T1564.001,defense-evasion
T1564.006,defense-evasion
T1564.002,defense-evasion
T1564.004,defense-evasion
T1564.005,defense-evasion
T1080,lateral-movement
T1137,persistence
T1137.004,persistence
T1137.005,persistence
T1137.001,persistence
T1137.002,persistence
T1137.006,persistence
T1137.003,persistence
T1119,collection
T1115,collection
T1007,discovery
T1040,credential-access
T1040,discovery
T1530,collection
T1135,discovery
T1120,discovery
T1082,discovery
T1071,command-and-control
T1071.002,command-and-control
T1071.003,command-and-control
T1071.001,command-and-control
T1071.004,command-and-control
T1053,execution
T1053,persistence
T1053,privilege-escalation
T1053.007,execution
T1053.007,persistence
T1053.007,privilege-escalation
T1053.003,execution
T1053.003,persistence
T1053.003,privilege-escalation
T1053.006,execution
T1053.006,persistence
T1053.006,privilege-escalation
T1053.002,execution
T1053.002,persistence
T1053.002,privilege-escalation
T1053.005,execution
T1053.005,persistence
T1053.005,privilege-escalation
T1176,persistence
T1106,execution
T1202,defense-evasion
T1091,lateral-movement
T1091,initial-access
T1005,collection
T1140,defense-evasion
T1562,defense-evasion
T1562.002,defense-evasion
T1562.004,defense-evasion
T1562.006,defense-evasion
T1562.009,defense-evasion
T1562.008,defense-evasion
T1562.010,defense-evasion
T1562.011,defense-evasion
T1562.007,defense-evasion
T1562.003,defense-evasion
T1562.001,defense-evasion
T1195,initial-access
T1195.003,initial-access
T1195.001,initial-access
T1195.002,initial-access
T1190,initial-access
T1558,credential-access
T1558.002,credential-access
T1558.004,credential-access
T1558.001,credential-access
T1558.003,credential-access
T1555,credential-access
T1555.004,credential-access
T1555.005,credential-access
T1555.003,credential-access
