T1652,Active Scanning,discovery,enterprise
T1651,Scanning IP Blocks,execution,enterprise
T1650,Acquire Access,resource-development,enterprise
T1649,Drive-by Compromise,credential-access,enterprise
T1648,Cloud Administration Command,execution,enterprise
T1647,Account Manipulation,defense-evasion,enterprise
T1622,Additional Cloud Credentials,"defense-evasion,discovery",enterprise
T1621,Abuse Elevation Control Mechanism,credential-access,enterprise
T1620,Bypass User Account Control,defense-evasion,enterprise
T1619,Adversary-in-the-Middle,discovery,enterprise
T1615,ARP Cache Poisoning,discovery,enterprise
T1614.001,Account Discovery,discovery,enterprise
T1614,Cloud Account,discovery,enterprise
T1613,Exploitation of Remote Services,discovery,enterprise
T1612,Application Layer Protocol,defense-evasion,enterprise
T1611,DNS,privilege-escalation,enterprise
T1610,Automated Exfiltration,"defense-evasion,execution",enterprise
T1609,Traffic Duplication,execution,enterprise
T1608.006,Account Access Removal,resource-development,enterprise
T1608.005,Vulnerability Scanning,resource-development,enterprise
T1608.004,Acquire Infrastructure,resource-development,enterprise
T1608.003,Botnet,resource-development,enterprise
T1608.002,Exploit Public-Facing Application,resource-development,enterprise
T1608.001,Command and Scripting Interpreter,resource-development,enterprise
T1608,AppleScript,resource-development,enterprise
T1606.002,Additional Cloud Roles,credential-access,enterprise
T1606.001,Elevated Execution with Prompt,credential-access,enterprise
T1606,DHCP Spoofing,credential-access,enterprise
T1602.002,Domain Account,collection,enterprise
T1602.001,Internal Spearphishing,collection,enterprise
T1602,File Transfer Protocols,collection,enterprise
T1601.002,Data Transfer Size Limits,defense-evasion,enterprise
T1601.001,Data Destruction,defense-evasion,enterprise
T1601,Wordlist Scanning,defense-evasion,enterprise
T1600.002,DNS Server,defense-evasion,enterprise
T1600.001,External Remote Services,defense-evasion,enterprise
T1600,Cloud API,defense-evasion,enterprise
T1599.001,Additional Email Delegate Permissions,defense-evasion,enterprise
T1599,Setuid and Setgid,defense-evasion,enterprise
T1598.003,LLMNR/NBT-NS Poisoning and SMB Relay,reconnaissance,enterprise
T1598.002,Email Account,reconnaissance,enterprise
T1598.001,Lateral Tool Transfer,reconnaissance,enterprise
T1598,Mail Protocols,reconnaissance,enterprise
T1597.002,Exfiltration Over Alternative Protocol,reconnaissance,enterprise
T1597.001,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,reconnaissance,enterprise
T1597,Data Encrypted for Impact,reconnaissance,enterprise
T1596.005,Gather Victim Host Information,reconnaissance,enterprise
T1596.004,Client Configurations,reconnaissance,enterprise
T1596.003,Domains,reconnaissance,enterprise
T1596.002,Hardware Additions,reconnaissance,enterprise
T1596.001,JavaScript,reconnaissance,enterprise
T1596,Device Registration,reconnaissance,enterprise
T1595.003,Sudo and Sudo Caching,reconnaissance,enterprise
T1595.002,Brute Force,reconnaissance,enterprise
T1595.001,Credential Stuffing,reconnaissance,enterprise
T1595,Local Account,reconnaissance,enterprise
T1594,Remote Service Session Hijacking,reconnaissance,enterprise
T1593.003,RDP Hijacking,reconnaissance,enterprise
T1593.002,Archive Collected Data,reconnaissance,enterprise
T1593.001,Archive via Custom Method,reconnaissance,enterprise
T1593,Web Protocols,reconnaissance,enterprise
T1592.004,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,reconnaissance,enterprise
T1592.003,Data Manipulation,reconnaissance,enterprise
T1592.002,Runtime Data Manipulation,reconnaissance,enterprise
T1592.001,Firmware,reconnaissance,enterprise
T1592,Malvertising,reconnaissance,enterprise
T1591.004,Phishing,reconnaissance,enterprise
T1591.003,Spearphishing Attachment,reconnaissance,enterprise
T1591.002,Network Device CLI,reconnaissance,enterprise
T1591.001,SSH Authorized Keys,reconnaissance,enterprise
T1591,Access Token Manipulation,reconnaissance,enterprise
T1590.006,Create Process with Token,reconnaissance,enterprise
T1590.005,Password Cracking,reconnaissance,enterprise
