techniqueID,tactic
T0803,inhibit-response-function
T0881,inhibit-response-function
T0836,impair-process-control
T0821,execution
T0887,discovery
T0887,collection
T0829,impact
T0800,inhibit-response-function
T0831,impact
T0814,inhibit-response-function
T0805,inhibit-response-function
T0807,execution
T0861,collection
T0816,inhibit-response-function
T0863,execution
T0860,initial-access
T0858,execution
T0858,evasion
T0878,inhibit-response-function
T0868,collection
T0837,impact
T0801,collection
T0853,execution
T0888,discovery
T0845,collection
T0819,initial-access
T0811,collection
T0864,initial-access
T0835,inhibit-response-function
T0842,discovery
T0851,evasion
T0851,inhibit-response-function
T0802,collection
T0804,inhibit-response-function
T0855,impair-process-control
T0809,inhibit-response-function
T0832,impact
T0872,evasion
T0877,collection
T0815,impact
T0871,execution
T0862,initial-access
T0880,impact
T0828,impact
T0865,initial-access
T0817,initial-access
T0879,impact
T0856,evasion
T0856,impair-process-control
T0866,initial-access
T0866,lateral-movement
T0812,lateral-movement
T0822,initial-access
T0806,impair-process-control
T0830,collection
T0820,evasion
T0827,impact
T0874,execution
T0874,privilege-escalation
T0823,execution
T0848,initial-access
T0834,execution
T0826,impact
T0882,impact
T0857,persistence
T0857,inhibit-response-function
T0849,evasion
T0843,lateral-movement
T0847,initial-access
T0852,collection
T0891,lateral-movement
T0891,persistence
T0859,persistence
T0859,lateral-movement
T0890,privilege-escalation
T0846,discovery
T0884,command-and-control
T0869,command-and-control
T0886,initial-access
T0886,lateral-movement
T0813,impact
T0838,inhibit-response-function
T0885,command-and-control
T0873,persistence
T0840,discovery
T0867,lateral-movement
T0839,persistence
T0839,impair-process-control
T0883,initial-access
T0893,collection
T0892,inhibit-response-function
T0889,persistence
