techniqueID,tactic
T1603,execution
T1603,persistence
T1638,collection
T1626,privilege-escalation
T1626.001,privilege-escalation
T1630,defense-evasion
T1630.003,defense-evasion
T1630.002,defense-evasion
T1630.001,defense-evasion
T1474,initial-access
T1474.002,initial-access
T1474.001,initial-access
T1474.003,initial-access
T1636,collection
T1636.001,collection
T1636.002,collection
T1636.003,collection
T1636.004,collection
T1418,discovery
T1418.001,discovery
T1424,discovery
T1629,defense-evasion
T1629.002,defense-evasion
T1629.003,defense-evasion
T1629.001,defense-evasion
T1428,lateral-movement
T1635,credential-access
T1635.001,credential-access
T1633,defense-evasion
T1633.001,defense-evasion
T1623,execution
T1623.001,execution
T1544,command-and-control
T1637,command-and-control
T1637.001,command-and-control
T1423,discovery
T1646,exfiltration
T1404,privilege-escalation
T1616,collection
T1616,impact
T1616,command-and-control
T1517,collection
T1517,credential-access
T1639,exfiltration
T1639.001,exfiltration
T1398,persistence
T1627,defense-evasion
T1627.001,defense-evasion
T1645,persistence
T1575,defense-evasion
T1575,execution
T1604,defense-evasion
T1541,defense-evasion
T1541,persistence
T1458,initial-access
T1458,lateral-movement
T1429,collection
T1625,persistence
T1625.001,persistence
T1437,command-and-control
T1437.001,command-and-control
T1407,defense-evasion
T1409,collection
T1513,collection
T1632,defense-evasion
T1632.001,defense-evasion
T1509,command-and-control
T1430,collection
T1430,discovery
T1430.002,collection
T1430.002,discovery
T1430.001,collection
T1430.001,discovery
T1417,collection
T1417,credential-access
T1417.002,credential-access
T1417.002,collection
T1417.001,collection
T1417.001,credential-access
T1643,impact
T1582,impact
T1631,defense-evasion
T1631,privilege-escalation
T1631.001,defense-evasion
T1631.001,privilege-escalation
T1414,collection
T1414,credential-access
T1641,impact
T1641.001,impact
T1481,command-and-control
T1481.002,command-and-control
T1481.001,command-and-control
T1481.003,command-and-control
T1634,credential-access
T1634.001,credential-access
T1617,defense-evasion
T1420,discovery
T1406,defense-evasion
T1406.002,defense-evasion
T1406.001,defense-evasion
T1516,defense-evasion
T1516,impact
T1464,impact
T1577,persistence
T1624,persistence
T1624.001,persistence
T1422,discovery
T1512,collection
T1471,impact
T1421,discovery
T1461,initial-access
T1533,collection
T1640,impact
T1426,discovery
T1532,collection
T1642,impact
T1644,command-and-control
T1521,command-and-control
T1521.002,command-and-control
T1521.001,command-and-control
T1628,defense-evasion
T1628.001,defense-evasion
T1628.002,defense-evasion
T1456,initial-access
